Model,Method,Metric,Value
tabtransformer,platt_scaling,youdens_j,0.27705766930501974
tabtransformer,platt_scaling,f1,0.5389834848290872
tabtransformer,platt_scaling,balanced_accuracy,0.6385288346525098
tabtransformer,platt_scaling,mcc,0.26488313719890705
tabtransformer,platt_scaling,brier_score,0.20226215702185119
tabtransformer,platt_scaling,event_rate,0.33747432260588867
tabtransformer,platt_scaling,tp,2105.0
tabtransformer,platt_scaling,fp,2256.0
tabtransformer,platt_scaling,tn,4517.0
tabtransformer,platt_scaling,fn,1345.0
tabtransformer,isotonic_regression,auc,0.6805414722138414
tabtransformer,isotonic_regression,average_precision,0.5118147840218437
tabtransformer,isotonic_regression,precision,0.5243938940436995
tabtransformer,isotonic_regression,recall,0.5078260869565218
tabtransformer,isotonic_regression,sensitivity,0.5078260869565218
tabtransformer,isotonic_regression,specificity,0.7653919976376791
tabtransformer,isotonic_regression,youdens_j,0.27321808459420094
tabtransformer,isotonic_regression,f1,0.5159770284199676
tabtransformer,isotonic_regression,balanced_accuracy,0.6366090422971005
tabtransformer,isotonic_regression,mcc,0.27543172099809365
tabtransformer,isotonic_regression,brier_score,0.20245959297371066
tabtransformer,isotonic_regression,event_rate,0.33747432260588867
tabtransformer,isotonic_regression,tp,1752.0
tabtransformer,isotonic_regression,fp,1589.0
tabtransformer,isotonic_regression,tn,5184.0
tabtransformer,isotonic_regression,fn,1698.0
enhanced_maml,platt_scaling,auc,0.5927232168649176
enhanced_maml,platt_scaling,average_precision,0.4474854954951042
enhanced_maml,platt_scaling,precision,0.44554455445544555
enhanced_maml,platt_scaling,recall,0.3652173913043478
enhanced_maml,platt_scaling,sensitivity,0.3652173913043478
enhanced_maml,platt_scaling,specificity,0.7684925439244057
enhanced_maml,platt_scaling,youdens_j,0.13370993522875363
enhanced_maml,platt_scaling,f1,0.40140172029308696
enhanced_maml,platt_scaling,balanced_accuracy,0.5668549676143768
enhanced_maml,platt_scaling,mcc,0.14133670815727625
enhanced_maml,platt_scaling,brier_score,0.21672954207296397
enhanced_maml,platt_scaling,event_rate,0.33747432260588867
enhanced_maml,platt_scaling,tp,1260.0
enhanced_maml,platt_scaling,fp,1568.0
enhanced_maml,platt_scaling,tn,5205.0
enhanced_maml,platt_scaling,fn,2190.0
enhanced_maml,isotonic_regression,auc,0.5910815107727401
enhanced_maml,isotonic_regression,average_precision,0.4300271604524331
enhanced_maml,isotonic_regression,precision,0.41197094916103183
enhanced_maml,isotonic_regression,recall,0.47681159420289854
enhanced_maml,isotonic_regression,sensitivity,0.47681159420289854
enhanced_maml,isotonic_regression,specificity,0.6533293961316994
enhanced_maml,isotonic_regression,youdens_j,0.1301409903345978
enhanced_maml,isotonic_regression,f1,0.4420260647588338
enhanced_maml,isotonic_regression,balanced_accuracy,0.5650704951672989
enhanced_maml,isotonic_regression,mcc,0.12613061525101402
enhanced_maml,isotonic_regression,brier_score,0.21644093677716836
enhanced_maml,isotonic_regression,event_rate,0.33747432260588867
enhanced_maml,isotonic_regression,tp,1645.0
enhanced_maml,isotonic_regression,fp,2348.0
enhanced_maml,isotonic_regression,tn,4425.0
enhanced_maml,isotonic_regression,fn,1805.0
meta_ensemble,platt_scaling,auc,0.7062897224058868
meta_ensemble,platt_scaling,average_precision,0.5616574908018379
meta_ensemble,platt_scaling,precision,0.5243091095189355
meta_ensemble,platt_scaling,recall,0.5939130434782609
meta_ensemble,platt_scaling,sensitivity,0.5939130434782609
meta_ensemble,platt_scaling,specificity,0.7255278310940498
meta_ensemble,platt_scaling,youdens_j,0.31944087457231074
meta_ensemble,platt_scaling,f1,0.5569448219624897
meta_ensemble,platt_scaling,balanced_accuracy,0.6597204372861554
meta_ensemble,platt_scaling,mcc,0.3108326396714632
meta_ensemble,platt_scaling,brier_score,0.19537860408099028
meta_ensemble,platt_scaling,event_rate,0.33747432260588867
meta_ensemble,platt_scaling,tp,2049.0
meta_ensemble,platt_scaling,fp,1859.0
meta_ensemble,platt_scaling,tn,4914.0
meta_ensemble,platt_scaling,fn,1401.0
meta_ensemble,isotonic_regression,auc,0.7055659406381263
meta_ensemble,isotonic_regression,average_precision,0.5470714547693335
meta_ensemble,isotonic_regression,precision,0.5207860922146637
meta_ensemble,isotonic_regression,recall,0.5991304347826087
meta_ensemble,isotonic_regression,sensitivity,0.5991304347826087
meta_ensemble,isotonic_regression,specificity,0.7191790934593238
meta_ensemble,isotonic_regression,youdens_j,0.3183095282419326
meta_ensemble,isotonic_regression,f1,0.5572179539021431
meta_ensemble,isotonic_regression,balanced_accuracy,0.6591547641209663
meta_ensemble,isotonic_regression,mcc,0.30883764800819646
meta_ensemble,isotonic_regression,brier_score,0.19569215312654023
meta_ensemble,isotonic_regression,event_rate,0.33747432260588867
meta_ensemble,isotonic_regression,tp,2067.0
meta_ensemble,isotonic_regression,fp,1902.0
meta_ensemble,isotonic_regression,tn,4871.0
meta_ensemble,isotonic_regression,fn,1383.0
